rank,unvocalized_form,vocalized_Syriac,SedraID,absolute_frequency,part_of_speech,long_definition,short_definition,category,first_homograph
1,ܗܘ,ܗܽܘ,781,667011.6,Pronoun,ܗܽܘ he; ܗܽܘ ܟܰܕ ܗܽܘ the same.,he,,TRUE
1,ܗܘ,ܗܰܘ,782,139173.4,Pronoun,ܗܰܘ that (m.); -ܐܰܝܟ ܗܰܘ ܕ as though.,that (m.),,
5,ܥܠ,ܥܰܠ,2322,307637.2,Prep,"ܥܰܠ upon, on, above, against, opposite, by, about, concerning, over.",upon,,TRUE
5,ܥܠ,ܥܰܠ,2316,39242.5,Verb,"ܥܰܠ fut. ܢܶܥܽܘܠ, Ia to enter, go in; IIp ܐܶܬܥܰܠܰܠ to be brought in, introduced; to make a pretext; to allege; to complain; IIIa ܐܰܥܶܠ to bring in, to introduce; to produce; IIIp.",to enter,Movement,
17,ܒܪܐ,ܒܪܳܐ,467,127899.36,NounAdj,"ܒܪܳܐ (pl. ܒܢܰܝ̈ܳܐ), f. ܒܰܪܬܳܐ (pl. ܒܢ̈ܳܬܳܐ) son, daughter. Many phrases with ܒܰܪ, ܒܰܪܬ, ܒܢ̈ܰܝ, ܒܢ̈ܳܬ expressing relationship, belonging; e.g.: ܒܰܪ ܐܶܓܳܪܳܐ lunatic; ܒܰܪ ܐܺܝܬܽܘܬܳܐ consubstantial; ܒܰܪ ܐܢܳܫܳܐ, ܒܰܪܢܳܫܳܐ person, human being; ܒܰܪ ܐܰܬܪܳܐ compatriot, indigenous; ܒܰܪ ܒܰܝܬܳܐ bond slave, born in the house; human being, kindred; ܒܰܪ ܒܶܣܬܪܳܐܺܝܬ backwards; ܒܰܪ ܒܶܣܬܪܳܝܳܐ reverse; ܒܰܪ ܓܰܒܳܐ adherent (of a party, sect); ܒܰܪ ܓܶܢܣܳܐ kindred; ܒܰܪ ܙܰܘܓܳܐ husband; close companion; ܒܰܪܬ ܙܰܘܓܳܐ wife; ܒܰܪ ܚܺܐܪ̈ܶܐ noble, freeborn; ܒܰܪ ܟܝܳܢܳܐ consubstantial, of the same nature; ܒܰܪ ܠܘܺܝܬܳܐ travelling companion; ܒܰܪ ܡܕܺܝܢ̱ܬܳܐ citizen; ܒܰܪ ܡܶܠܟܳܐ counselor; ܒܰܪ ܥܳܠܡܳܐ layman; ܒܰܪ ܥܶܢܝܳܢܳܐ familiar friend; ܒܰܪ ܦܶܚܡܳܐ similar, Kth. colleague; ܒܰܪ ܩܝܳܡܳܐ / ܒܰܪ̱ܬ ܩܝܳܡܳܐ someone who has taken ascetic vows; Kth. f. wife of a priest; ܒܰܪ ܫܡܳܐ having the same name, namesake; ܒܰܪ ܫܳܥܬܳܐ, ܒܰܪ ܫܳܥܬܶܗ immediately.",son,Family,TRUE
17,ܒܪܐ,ܒܪܳܐ,470,24510.15,Verb,"ܒܪܳܐ fut. ܢܶܒܪܶܐ, Ia to create",to create,,
17,ܒܪܐ,ܒܰܪܳܐ,460,5810.35,NounAdj,"ܒܰܪܳܐ exterior; open country; ܠܒܰܪ outside, out, ܠܒܰܪ ܡܶܢ apart from. ",exterior; open country,Places,
22,ܗܢܘܢ,ܗܳܢܽܘܢ,6152,58522.5,Pronoun,ܗܳܢܽܘܢ those (m.); ܗܳܢܶܝܢ (f.).,those (m.),,
22,ܗܢܘܢ,ܗܶܢܽܘܢ,14175,77425.5,Pronoun,ܗܶܢܽܘܢ they (m.); ܗܶܢܶܝܢ (f.).,"they, them (masc)",,TRUE
27,ܐܠܐ,ܐܶܠܳܐ,128,5330.95,Verb,"ܐܶܠܳܐ fut. ܢܶܐܠܶܐ, Ia to mourn, lament.","to mourn, lament",Death,
27,ܐܠܐ,ܐܶܠܳܐ,127,101288.05,Particle,"ܐܶܠܳܐ if not, unless; except, but.",if not; except,,TRUE
29,ܐܘ,ܐܰܘ,39,90286.44,Particle,ܐܰܘ or.,or,,TRUE
29,ܐܘ,ܐܳܘ,38,10765.92,Particle,ܐܳܘ Oh!,oh!,,
32,ܐܬܐ,ܐܶܬܳܐ,316,82018.22,Verb,"ܐܶܬܳܐ fut. ܢܺܐܬܶܐ, imp. ܬܳܐ (f. ܬܳܝ) Ia to come, arrive; IIIa ܐܰܝܬܺܝ to bring, introduce; IIIp.","to come, arrive",Movement,TRUE
32,ܐܬܐ,ܐܳܬܳܐ,314,8057.1,NounAdj,"ܐܳܬܳܐ (pl. ܐܳܬܘ̈ܳܬܳܐ) f. sign, token, miracle.","sign, miracle",,
33,ܐܝܕܐ,ܐܺܝܕܳܐ,74,77497.55,NounAdj,"ܐܺܝܕܳܐ (pl. ܐܺܝ̈ܕܶܐ, ܐܺܝܕܰܝ̈ܳܐ) f. hand; handle, etc; ܝܰܕ edge, side; ܒܝܰܕ through, by means of, with the help of; -ܒܝܰܕ ܕ because; ܡܶܢ ܝܰܕ on account of; ܥܰܠ ܝܰܕ beside; ܒܺܐܝܕܳܐ ܒܺܐܝܕܳܐ little by little; partly.",hand; handle,,TRUE
33,ܐܝܕܐ,ܐܰܝܕܳܐ,8857,10757.85,Prep,ܐܰܝܕܳܐ see ܐܰܝܢܳܐ.,who?,,
37,ܐܒܐ,ܐܶܒ݁ܳܐ,9640,19952.1,NounAdj,"ܐܶܒ݁ܳܐ (pl. ܐܶܒ̈ܳܢܶܐ) fruit, produce.",fruit,,
37,ܐܒܐ,ܐܰܒܳܐ,9180,64739,NounAdj,"ܐܰܒ݂ܳܐ father; spiritual father; (pl. ܐܰܒ̈ܳܗܶܐ) parents, forefathers; (pl. ܐܰܒ̈ܳܗܳܬܳܐ) spiritual fathers.",father; spiritual father,Family,TRUE
47,ܚܝܐ,ܚܝܳܐ,1018,22547.68,Verb,"ܚܝܳܐ fut. ܢܺܐܚܶܐ & ܢܺܚܶܐ, imp. ܚܝܺܝ, Ia to live, be alive, revive; to be saved; IIIa to give life, keep alive, save alive, bring to life; to save; IIIp.","to live, to be saved",,TRUE
47,ܚܝܐ,ܚܰܝ̈ܶܐ,5597,28923.32,NounAdj,ܚܰܝ̈ܶܐ life; salvation.,life; salvation,,
47,ܚܝܐ,ܚܰܝܳܐ,1019,17860.05,NounAdj,"ܚܰܝܳܐ living, alive; raw, unripe.",alive; raw,,
50,ܪܘܚܐ,ܪܽܘܚܳܐ,2973,63669.73375,NounAdj,"ܪܽܘܚܳܐ (pl. ܪ̈ܽܘܚܶܐ, ܪ̈ܽܘܚܳܬܳܐ) f. (usually m. in prose for Holy Spirit) spirit; wind; ܪܽܘܚܳܐ ܕܩܽܘܕܫܳܐ, ܪܽܘܚܳܐ ܩܰܕܺܝܫܳܐ Holy Spirit.",spirit; wind,Nature,TRUE
50,ܪܘܚܐ,ܪܘܳܚܳܐ,7607,915.975,NounAdj,ܪܘܳܚܳܐ ease; joy.,ease; joy,Emotions,
50,ܪܘܚܐ,ܪܰܘܚܳܐ,10259,610.65,NounAdj,"ܪܰܘܚܳܐ space, interstice; territory.",space; territory,,
56,ܡܠܟܐ,ܡܰܠܟܳܐ,1783,53269.5,NounAdj,"ܡܰܠܟܳܐ king, emperor, caliph, ruler.",king,,TRUE
56,ܡܠܟܐ,ܡܶܠܟܳܐ,1784,5432.2,NounAdj,"ܡܶܠܟܳܐ advice, counsel.","advice, counsel",,
60,ܣܓܝܐܐ,ܣܓܺܝ,2063,6862.66,Verb,"ܣܓܳܐ & ܣܓܺܝ fut. ܢܶܣܓܶܐ, Ia to abound; to increase; IIa to multiply, increase (+ object); to do often; to sing a sughitho; Gram. to form a plural; IIIa to increase, to multiply; to do much.",to abound; to increase,,
60,ܣܓܝܐܐ,ܣܰܓܺܝ,6135,15121.57,Adverb,"ܣܰܓܺܝ much, greatly.","much, greatly",,
60,ܣܓܝܐܐ,ܣܰܓܺܝܳܐܐ,2064,34072.44,NounAdj,"ܣܰܓܺܝܳܐܐ much, many","much, many",,TRUE
64,ܛܳܒܐ,ܛܶܒܳܐ,1195,4391.8,NounAdj,"ܛܶܒܳܐ news, tidings, report, fame; rumor; Gram. attribute.","news, report",,
64,ܛܳܒܐ,ܛܳܒܳܐ,1196,47327.2,NounAdj,"ܛܳܒܳܐ good, excellent; precious (of stone); cultivated (of plant).","good, excellent",,TRUE
67,ܡܢ,ܡܰܢ,1797,17174.45,Pronoun,"ܡܰܢ who, which?","who, which?",,
67,ܡܢ,ܡܰܢ,1798,32285.84,Particle,"ܡܰܢ indeed, on the one hand. ","indeed, on the one hand",Bodies,TRUE
68,ܫܘܒܚܐ,ܫܽܘܒܳܚܳܐ,13288,2088.3,NounAdj,ܫܽܘܒܳܚܳܐ act of praise; section of the Psalter.,act of praise; section of the Psalter,,
68,ܫܘܒܚܐ,ܫܽܘܒܚܳܐ,3138,47201.74,NounAdj,"ܫܽܘܒܚܳܐ praise, glory; splendor; opinion, tenet.",praise; splendor,,TRUE
70,ܩܪܐ,ܩܪܳܐ,15517,4324.8,Verb,"ܩܪܳܐ 2 fut. ܢܶܩܪܶܐ, Ia to come upon, to occur; Ip to oppose, resist.","to come upon, to occur",Movement,
70,ܩܪܐ,ܩܪܳܐ,15516,42476.55,Verb,"ܩܪܳܐ 1 fut. ܢܶܩܪܶܐ, Ia to call, summon, invite, invoke; Kth. to read; Ip.",to call; to read,,TRUE
75,ܩܠܐ,ܩܠܳܐ,15792,1989.3,Verb,"ܩܠܳܐ fut. ܢܶܩܠܶܐ, Ia to fry, to toast; to kill; Ip to perish; to be scorned; IIa to fry; to excite; to scorn; IIp to be burnt up; to be displeased; to be inflamed; IIIa to fry; to provoke, vex. B - K",to fry; to kill,Warfare,
