rank,unvocalized_form,vocalized_homograph_1,short_definition_homograph_1,vocalized_homograph_2,short_definition_homograph_2
5.0,ܥܠ,ܥܰܠ,to enter,ܥܰܠ,upon
23.0,ܐܠܐ,ܐܶܠܳܐ,if not; except,ܐܶܠܳܐ,"to mourn, lament"
27.0,ܐܘ,ܐܰܘ,or,ܐܳܘ,oh!
32.0,ܐܬܐ,ܐܶܬܳܐ,"to come, arrive",ܐܳܬܳܐ,"sign, miracle"
37.0,ܐܝܕܐ,ܐܺܝܕܳܐ,hand; handle,ܐܰܝܕܳܐ,who?
43.0,ܗܢܘܢ,ܗܳܢܽܘܢ,those (m.),ܗܶܢܽܘܢ,"they, them (m)"
49.0,ܐܒܐ,ܐܰܒܳܐ,father; spiritual father,ܐܶܒ݁ܳܐ,fruit
65.0,ܡܠܟܐ,ܡܰܠܟܳܐ,king,ܡܶܠܟܳܐ,"advice, counsel"
74.0,ܩܪܐ,ܩܪܳܐ,to call; to read,ܩܪܳܐ,"to come upon, to occur"
75.0,ܛܒܐ,ܛܳܒܳܐ,good; precious (of stone); cultivated (of plant),ܛܶܒܳܐ,news; Gram. Attribute
76.0,ܫܘܒܚܐ,ܫܽܘܒܚܳܐ,"praise, glory; splendor",ܫܽܘܒܳܚܳܐ,act of praise; section of the Psalter
80.0,ܩܠܐ,ܩܳܠܳܐ,"voice, sound; hymn",ܩܠܳܐ,"to fry, to toast; to kill"
81.0,ܣܓܝܐܐ,ܣܰܓܺܝܳܐܐ,"much, many",ܣܰܓܺܝ,"much, greatly"
84.0,ܡܢ,ܡܰܢ,"indeed, on the one hand",ܡܰܢ,"who, which?"
99.0,ܚܠܦ,ܚܠܳܦ,"instead of, because of, in place of,",ܚܠܰܦ,"to exchange, substitute; to pierce"
102.0,ܚܘܒܐ,ܚܽܘܒܳܐ,love,ܚܰܘܒܳܐ,debt; sin 
106.0,ܒܝܫܐ,ܒܺܝܫܳܐ,"bad, evil",ܒܳܝܫܳܐ,"poor man, destitute"
110.0,ܥܒܕܐ,ܥܰܒܕܳܐ,"servant, slave",ܥܒܳܕܳܐ,"work; making, construction"
111.0,ܚܘܐ,ܚܰܘܳܐ,show,ܚܰܘܳܐ,Eve
112.0,ܢܘܗܪܐ,ܢܽܘܗܪܳܐ,light,ܢܽܘܗܳܪܳܐ,"enlightenment, scholion; Kth. Note"
121.0,ܕܡܐ,ܕܡܳܐ,"blood, bloodshed; sap",ܕܡܳܐ,"to be like, resemble"
125.0,ܫܠܡܐ,ܫܠܳܡܳܐ, peace; salutation,ܫܰܠܡܳܐ,complete
131.0,ܪܚܡܐ,ܪ̈ܰܚܡܶܐ,mercy; intestines,ܪܳܚܡܳܐ,friend 
132.0,ܕܝܢܐ,ܕܺܝܢܳܐ,judgment,ܕܰܝܳܢܳܐ,judge
136.0,ܬܡܢ,ܬܰܡܳܢ,there,ܬܰܡܶܢ,to divide into eight
141.0,ܢܘܪܐ,ܢܽܘܪܳܐ,fire,ܢܘܳܪܳܐ,shying (of animal); fright
149.0,ܪܡܐ,ܪܳܡܳܐ,high; exalted; proud,ܪܡܳܐ,"to put, place"
150.0,ܩܘܕܫܐ,ܩܽܘܕܫܳܐ,holiness; holy things; sanctuary,ܩܽܘܕܳܫܳܐ,"sanctifying, consecration; the Eucharist"
156.0,ܚܫܐ,ܚܰܫܳܐ,suffering; sorrow; affection; the Passion,ܚܳܫܳܐ,thyme
172.0,ܗܝܕܝܢ,ܗܳܝܕܶܝܢ,then,ܗܳܝܕܶܝܟ,then
181.0,ܫܢܐ,ܫܶܢܳܐ,tooth; crag; spike,ܫܢܳܐ,to go away; to be dislocated
188.0,ܐܪܙܐ,ܐ̱ܪܳܙܳܐ,"symbol, mystery, secret",ܐܰܪܙܳܐ,cedar
190.0,ܫܐܠ,ܫܐܶܠ,to ask; to borrow,ܫܰܐܶܠ,to question
202.0,ܨܠܐ,ܨܠܳܐ,to turn aside; to set a trap,ܨܶܠܳܐ,"game, pastime"
206.0,ܥܶܠܬܳܐ,ܥܶܠܬܳܐ,"cause, pretext; rationale",ܥܠܳܬܳܐ,offering; altar
208.0,ܚܛܝܬܐ,ܚܛܺܝܬܳܐ,"Sin ܚܛܺܝܬܳܐ / sinful (fem. Also, the sinful woman) ܚܰܛܳܝܬܳܐ ",ܚܰܛܳܝܬܳܐ,sinner (f.); the sinful woman
209.0,ܛܽܘܪܐ,ܛܽܘܪܳܐ,mountain,ܛܰܘܪܳܐ,moment
220.0,ܡܢܘ,ܡܰܢܽܘ,who is this?,ܡܳܢܰܘ,what is this?
226.0,ܩܢܳܐ ,ܩܢܳܐ,"to acquire, possess",ܩܶܢܳܐ,nest
229.0,ܫܡܫܐ,ܫܶܡܫܳܐ,sun,ܫܰܡܳܫܳܐ,servant; deacon
230.0,ܒܪܝܬܐ,ܒܪܺܝܬܳܐ,"creation, created world; creature",ܒܶܪܺܝܬܳܐ,"street, path; open place"
232.0,ܓܒܐ,ܓܰܒܳܐ,side; party,ܓܒܳܐ,to choose; to elect; to exact (taxes)
250.0,ܥܢܐ,ܥܢܳܐ,to answer; to converse,ܥܳܢ̈ܳܐ,"sheep, flock"
251.0,ܐܦܐ,ܐܰܦ̈ܶܐ,"face, countenance",ܐܶܦܳܐ,to bake
258.0,ܚܕܬܐ,ܚܰܕ̱ܬܳܐ,"new, recent (fem sing) ",ܚܕܰܬܳܐ,the New Testament
263.0,ܫܢܬܐ,ܫܰܢ̱ܬܳܐ ,year; era of,ܫܶܢܬܳܐ,sleep
264.0,ܩܝܡܬܐ,ܩܝܳܡܬܳܐ,resurrection,ܩܳܝܶܡܬܳܐ,"post, pillar; stature"
269.0,ܣܳܟܳܐ,ܣܳܟܳܐ,"end, extremity; sum",ܣܰܟܺܝ,"to wait for, to look for"
277.0,ܐܠܦܐ,ܐܰܠܦܳܐ,a thousand,ܐܶܠܦܳܐ,"ship, boat"
282.0,ܚܘܪ,ܚܳܪ,to gaze at; to look for; to pay attention to,ܚܘܰܪ,"to be, become white"
299.0,ܙܢܐ,ܙܢܳܐ,"kind, manner",ܙܢܳܐ,"to commit an act of fornication, to commit adultery"
312.0,ܚܕܘܬܐ,ܚܰܕ݂ܽܘܬܳܐ,"joy, gladness",ܚܰܕ݂ܽܘܬܳܐ,"silo, granary"
316.0,ܫܒܬܐ,ܫܰܒܬܳܐ,Saturday; Sabbath; week ܫܰܒܬܳܐ / dill ܫܒܶܬܳܐ,ܫܒܶܬܳܐ,dill
322.0,ܥܠܝܐ,ܥܶܠܳܝܳܐ,"exalted, heavenly; upper",ܥܶܠܝܳܐ,"malice, crime"
323.0,ܒܪܡ,ܒܪܰܡ,"but, however ܒܪܰܡ (adverb) / to eat into (of insects); to corrode ܒܪܰܡ (verb)",ܒܪܰܡ,to gnaw; to corrode
328.0,ܫܘܪܐ,ܫܽܘܪܳܐ,wall; navel,ܫܘܳܪܳܐ,leap; pulley
334.0,ܥܡܠܐ,ܥܰܡܠܳܐ,labor; administrative district,ܥܳܡܠܳܐ,"prefect, official"
339.0,ܚܢܢܐ,ܚܢܳܢܳܐ,"pity, compassion; favor",ܚܰܢܳܢܳܐ,compassionate
351.0,ܫܥܬܐ,ܫܳܥܬܳܐ,hour; moment,ܫܥܳܬܳܐ,game; laughing stock.
352.0,ܫܡܝܢܐ,ܫܡܰܝܳܢܳܐ,heavenly,ܫܰܡܺܝܢܳܐ,fat
365.0,ܚܡܪܐ,ܚܰܡܪܳܐ,wine; juice,ܚܡܳܪܳܐ,"ass, donkey"
369.0,ܕܗܒܐ,ܕܰܗܒܳܐ,gold,ܕܰܗܳܒܳܐ,goldsmith
371.0,ܟܪ,ܟܰܪ,where,ܟܰܪ,to be narrow; to be unpleasant
402.0,ܙܪܥܐ,ܙܰܪܥܳܐ,seed; offspring,ܙܪܳܥܳܐ,sowing
407.0,ܡܢܝܢܐ,ܡܶܢܝܳܢܳܐ,"number, reckoning, computation",ܡܢܺܝܢܳܐ,weevil
416.0,ܬܪܐ,ܬܰܪܰܐ,to instruct,ܬܪܳܐ,to be damp
438.0,ܫܪܒܐ,ܫܰܪܒܳܐ,"affair, story",ܫܪܳܒܳܐ,drought
450.0,ܥܕ,ܥܰܕ,to weed out,ܥܰܕ,while; until
451.0,ܫܢܝܐ,ܫܢܳܝܳܐ,"frenzy, infatuation",ܫܰܢܳܝܳܐ,raving
453.0,ܚܛܐ,ܚܛܳܐ,,ܚ̈ܶܛܶܐ,"grain of wheat, wheat"
465.0,ܡܢܬܐ,ܡܢܳܬܳܐ,"part, lot; relic",ܡܶܢܬܳܐ,hair; fur; string (of instrument)
480.0,ܟܣܐ,ܟܳܣܳܐ,cup; chalice,ܟܣܳܐ,to cover
488.0,ܫܡܫ,ܫܰܡܶܫ,"to serve, minister to; to perform",ܫܰܡܶܫ,to expose to the sun
498.0,ܚܒܠܐ,ܚܒܳܠܳܐ,"corruption, destruction, harm",ܚܰܒܠܳܐ,rope; measuring line; measured piece of land
499.0,ܬܪܝܢܐ,ܬܪܰܝܳܢܳܐ,second; substitute,ܬܶܪܝܳܢܳܐ,juice (from soaked fruit)
