rank,unvocalized_form,vocalized_homograph_1,short_definition_homograph_1,vocalized_homograph_2,short_definition_homograph_2,vocalized_homograph_3,short_definition_homograph_3
20.0,ܒܪܐ,ܒܪܳܐ,son,ܒܪܳܐ,to create,ܒܰܪܳܐ,exterior; open country
51.0,ܪܘܚܐ,ܪܽܘܚܳܐ,spirit; wind,ܪܘܳܚܳܐ,ease; joy,ܪܰܘܚܳܐ,space; territory
59.0,ܚܝܐ,ܚܰܝܳܐ,living; raw.,ܚܝܳܐ,"to live, to be saved",ܚܰܝ̈ܶܐ,life; salvation
173.0,ܓܠܐ,ܓܠܳܐ,"to uncover, make known",ܓܰܠܳܐ,cloak,ܓܶܠܳܐ,"straw, chip"
184.0,ܬܪܥܐ,ܬܰܪܥܳܐ,door; chapter; opening,ܬܰܪܳܥܳܐ,doorkeeper,ܬܪܳܥܳܐ,a rent; piercing; letting (of blood) 
197.0,ܪܘܡܐ,ܪܰܘܡܳܐ,height; pride,ܪܽܘܡܺܝ,Rome,ܪܽܘܡܳܐ,"catarrh, phlegm, flux"
201.0,ܥܘܠܐ,ܥܰܘܠܳܐ,"iniquity, wickedness",ܥܽܘܠܳܐ,embryo; new-born baby,ܥܰܘܳܠܳܐ,"wicked, unjust"
266.0,ܡܨܐ,ܡܨܶܐ,be able ܡܨܶܐ,ܡܨܳܐ,"to be able, capable",ܡܨܳܐ,"to suck, draw out; to lap (water)"
272.0,ܣܰܒܪܐ,ܣܰܒܪܳܐ,"hope, expectation",ܣܶܒܪܳܐ,opinion,ܣܒܳܪܳܐ,opinion; conjecture; illusion
309.0,ܟܢ,ܟܶܢ,"then, next",ܟܳܢ,"to exist, come into existence",ܟܳܢ,"to set right, admonish, correct"
315.0,ܨܦܪܐ,ܨܰܦܪܳܐ," morning, daw",ܨܶܦܪܳܐ,small bird,ܨܰܦܳܪܳܐ,bird-dealer
319.0,ܫܠܝܐ,ܫܶܠܝܳܐ,"stillness, quiet, calm",ܫܰܠܝܳܐ,"quiet, still, inert. ",ܫܠܳܝܳܐ,drawing (of water); extraction
341.0,ܩܪܝܬܐ,ܩܪܺܝܬܳܐ,village; field; town,ܩܪܳܝܬܳܐ,invocation; invitation,ܩܳܪܺܝܬܳܐ,beam; weevil
418.0,ܪܥܐ,ܪܥܳܐ,"to tend, to shepherd; to graze",ܪܥܳܐ,to think; to decide,ܪܥܳܐ,content with
421.0,ܕܪܐ,ܕܳܪܳܐ,generation; century,ܕܪܳܐ,to scatter; to winnow,ܕܰܪܳܐ,fight; wrestling match
433.0,ܩܝܡܐ,ܩܝܳܡܳܐ,standing position; covenant; constitution,ܩܰܝܳܡܳܐ,"existing, alive",ܩܳܝܡܳܐ,"post, column"
456.0,ܣܦܪܐ,ܣܶܦܪܳܐ,book; script; literature,ܣܳܦܪܳܐ,scribe; teacher,ܣܦܳܪܳܐ,"shore, border, edge"
458.0,ܚܪܬܐ,ܚܰܪܬܳܐ,end; result; remnant,ܚܪܳܬܳܐ,vitriol,ܚܪܳܬܳܐ,furrow; hollow
468.0,ܡܫܚܐ,ܡܶܫܚܳܐ,"ointment, oil, unguent",ܡܫܳܚܳܐ,anointing,ܡܰܫܳܚܳܐ,"unguent-, oil-merchant"
485.0,ܚܒܪܐ,ܚܰܒܪܳܐ,"companion, friend; mate",ܚܰܒܳܪܳܐ,conjurer; deep pit; darkness,ܚܶܒܪܳܐ,ink
