Frequency,Non vocalized Syriac,Vocalized Syriac,SedraID,absolute_frequency,Grammatical Category,long_definition,English,category
1,ܗܘ,ܗܽܘ,781,667011.6,Pronoun,ܗܽܘ he; ܗܽܘ ܟܰܕ ܗܽܘ the same.,he,
2,ܗܘܐ,ܗܘܳܐ,783,616550,Verb,"ܗܘܳܐ fut. ܢܶܗܘܶܐ, (apocopated ܢܗܶܐ) Ia to be, to become; to exist; to take place, to happen; + ܠ‍ to have; IIIa to bring into existence; IIIp.","to be, to happen",
3,ܠܐ,ܠܳܐ,1614,550966.2,Prep,"ܠܳܐ not, no; (in compounds) in-, un-.","no, not",
4,ܡܢ,ܡܶܢ,1799,544866.2,Prep,"ܡܶܢ from, out of, on; by, as a result of; on the part of; than; some of, out of.","from, than",
5,ܗܢܐ,ܗܳܢܳܐ,6097,338555.5,Pronoun,"ܗܳܢܳܐ, ܗܳܢ this (m); ܗܳܢܳܐ ܟܽܠܶܗ so very, to such a degree.",this (m),
6,ܥܠ,ܥܰܠ,2322,307637.2,Prep,"ܥܰܠ upon, on, above, against, opposite, by, about, concerning, over.",upon,
7,ܟܠ,ܟܽܠ,10642,297486.9,Adverb,"ܟܽܠ, ܟܽܘܠ, ܟܽܘܠܳܐ all, the whole; ܟܠ +(absolute noun) every, each (e.g. ܟܽܠܝܽܘܡ every, each day).","all, the whole",
8,ܐܡܪ,ܐܶܡܰܪ,171,254052,Verb,"ܐܶܡܰܪ fut. ܢܺܐܡܰܪ, Ia to say, speak; Ip.","to say, speak",
9,ܟܕ,ܟܰܕ,1468,253272.5,Particle,"ܟܰܕ when, while; ܗܽܘ ܟܰܕ ܗܽܘ the same; ܕܺܝܠܶܗ ܟܰܕ ܕܺܝܠܶܗ by the same; ܟܰܕ ܛܳܒ although.","when, while",
10,ܡܪܝܐ,ܡܳܪܝܳܐ,1843,243142,NounAdj,"ܡܳܪܝܳܐ Lord; lord, master, ruler; ܡܳܪܶܐ master of, owner of, endowed with; + ܚܰܘܒܳܐ creditor.",Lord; lord,Religion
11,ܐܝܬ,ܐܺܝܬ,102,221236.03,Substansive,"ܐܺܝܬ there is, exists; + -ܕ some; + -ܠ‍‍ to have.","there is, exists",
12,ܐܝܟ,ܐܰܝܟ,82,218104,Particle,"ܐܰܝܟ as, like, according to; -ܐܰܝܟ ܕ so that.","according to, so that",
13,ܕܝܢ,ܕܶܝܢ,690,207966.78,Particle,"ܕܶܝܢ but, and, for, then.","but, then",
14,ܐܠܗܐ,ܐܰܠܳܗܳܐ,130,202712,NounAdj,ܐܰܠܳܗܳܐ God; god; ܐܰܠܳܗܬܳܐ goddess.,God; god,Religion
15,ܐܢܐ,ܐܶܢܳܐ,178,195299,Pronoun,ܐܶܢܳܐ I.,I,
16,ܐܢܬ,ܐܰܢ̱ܬ,9891,191415,Pronoun,"ܐܰܢ̱ܬ m., you (sing.), f. ܐܰܢ̱ܬܝ̱.","you (m., sing.)",
17,ܡܛܠ,ܡܶܛܽܠ,1742,150852,Prep,"ܡܶܛܽܠ because of, on account of, on behalf of, concerning; -ܡܶܛܽܠ ܕ because, so that.","because of, so that",
18,ܗܘ,ܗܰܘ,782,139173.4,Pronoun,ܗܰܘ that (m.); -ܐܰܝܟ ܗܰܘ ܕ as though.,that (m.),
19,ܐܦ,ܐܳܦ,243,138594,Particle,"ܐܳܦ also, even.","also, even",
20,ܗܝ,ܗܳܝ,9218,137899,Pronoun,"ܗܳܝ that (f.); -ܒܗܳܝ ܕ in that…, because.",that (f.),
